scientific_name,common_name,category,added_by
Petromyzontiformes,Lamprey,animal,JL
Sepiida,cuttlefish,animal,JL
Siluriformes,catfish,animal,JL
Nematognathi,catfish,animal,JL
Origanum vulgare,oregano,plant,BP
Oryza sativa,rice,plant,BP
Osmundastrum cinnamomeum,cinnamon fern,plant,BP
Ovis aries,sheep,animal,BP
Oxalis tuberosa,oca,plant,JL
Oxypolis filiformis,water cowbane,plant,BP
Pachyrhizus erosus,jicama,plant,BP
Paederia foetida,stinkvine,plant,BP
Panax vietnamensis,vietnamese ginseng,plant,BP
Pangasius bocourti,"Pangasius, basa, swai",animal,JL
Panicum miliaceum,proso millet,plant,BP
Papaver somniferum,poppy,plant,JL
Paralichthys lethostigma,flounder,animal,BP
Passiflora edulis,passion fruit,plant,BP
Passiflora quadrangularis,"giant granadilla, grenadine",plant,BP
Pastinaca sativa,parsnip,plant,JL
Penaeus setiferus,white shrimp,animal,BP
Perca fluviatilis,common perch,animal,BP
Persea americana,avocado,plant,BP
Petroselinum crispum,parsley,plant,BP
Phaseolus lunatus,lima bean,plant,BP
Phaseolus vulgaris,"common bean, green bean, French bean",plant,BP
Phoenix dactylifera,date,plant,BP
Physalis angulata,cutleaf groundcherry,plant,BP
Physalis philadelphica,tomatillo,plant,JL
Piaractus brachypomus,pirapitinga,animal,BP
Pimenta dioica,allspice,plant,BP
Pimpinella anisum,anise seed,plant,BP
Pinus,pine nut,plant,JL
Piper guineense,ashanti pepper,plant,BP
Piper longum,long pepper,plant,JL
Piper nigrum,black pepper,plant,BP
Piper sarmentosum,wild betel,plant,BP
Pistacia vera,pistachio,plant,BP
Pisum sativum,pea,plant,BP
Pisum sativum var. macrocarpum,sugar snap pea,plant,BP
Pisum sativum var. macrocarpum,snow pea,plant,BP
Plantago,psyllium,plant,JL
Pleurotus eryngii,king oyster,fungus,BP
Pleurotus ostreatus,Pearl oyster mushroom,fungus,JL
Pollachius pollachius,pollock,animal,JL
Pollachius virens,pollock,animal,JL
Polygonum odoratum ,"vietnamese coriander, rau ram",plant,BP
Polyporous squamosus,Dryad's saddle,fungus,JL
Polystichum munitum and others,fiddleheads,plant,JL
Pomatomus saltatrix,"Bluefish, tailor, elf, shad",animal,JL
Prunus armeniaca,apricot,plant,JL
Prunus avium,sweet cherry,plant,BP
Prunus domestica,plum,plant,BP
Prunus dulcis,almond,plant,JL
Prunus grayana,japanese bird cherry,plant,BP
Prunus mume,"ume, Chinese plum",plant,JL
Prunus persica,peach,plant,BP
Prunus spinosa,sloe,plant,BP
Pseudohyndum gelatinosum,Toothed jelly fungus,fungus,JL
Psidium guajava,common guava,plant,BP
Psophocarpus scandens,tropical african winged bean,plant,BP
Punica granatum,pomegranate,plant,JL
Pyropia yezoensis,nori,plant,JL
Pyropia tenera,nori,plant,JL
Pyrus,pear,plant,BP
Pyrus communis,european pear,plant,BP
Quercus,"acorn, oak",plant,JL
Raphanus sativus,radish,plant,BP
Rastrineobola argenta,silver cyprinid,animal,BP
Rattus rattus,rat,animal,BP
