needs_QC,scientific_name,common_name,alternative_names,category,source
,Bodianus pulchellus,hogfish,,animal,"FDA The Seafood List, 2023/07/21"
,Bodianus rufus,hogfish,,animal,"FDA The Seafood List, 2023/07/21"
,Bodianus scrofa,hogfish,,animal,"FDA The Seafood List, 2023/07/21"
,Bolbometopon muricatum,parrotfish,,animal,"FDA The Seafood List, 2023/07/21"
,Bombyx mori,silkworm,,animal,SJ
,Boops boops,bream,bogue,animal,"FDA The Seafood List, 2023/07/21"
,Boreogadus saida,cod,arctic cod,animal,"FDA The Seafood List, 2023/07/21"
,Bos taurus,cattle,,animal,BP
,Bothus lunatus,flounder,peacock flounder,animal,"FDA The Seafood List, 2023/07/21"
,Bothus mancus,flounder,tropical flounder,animal,"FDA The Seafood List, 2023/07/21"
,Bothus ocellatus,flounder,eyed flounder,animal,"FDA The Seafood List, 2023/07/21"
,Bothus pantherinus,flounder,panther flounder,animal,"FDA The Seafood List, 2023/07/21"
,Botia dario,bengal loach,,animal,"FDA The Seafood List, 2023/07/21"
,Brachirus orientalis,sole,oriental sole,animal,"FDA The Seafood List, 2023/07/21"
,Brachyplatystoma filamentosum,lau-lau,,animal,"FDA The Seafood List, 2023/07/21"
,Brachyplatystoma vaillantii,piramutaba,,animal,"FDA The Seafood List, 2023/07/21"
,Brama australis,pomfret,,animal,"FDA The Seafood List, 2023/07/21"
,Brama brama,pomfret,,animal,"FDA The Seafood List, 2023/07/21"
,Brama dussumieri,pomfret,,animal,"FDA The Seafood List, 2023/07/21"
,Brama japonica,pomfret,,animal,"FDA The Seafood List, 2023/07/21"
,Bramidae,pomfret,,animal,JL
,Branchiostegus japonicus,tilefish,,animal,"FDA The Seafood List, 2023/07/21"
,Brevoortia gunteri,menhaden,finescale menhaden,animal,"FDA The Seafood List, 2023/07/21"
,Brevoortia patronus,menhaden,gulf menhaden,animal,"FDA The Seafood List, 2023/07/21"
,Brevoortia smithi,menhaden,yellowfin menhaden,animal,"FDA The Seafood List, 2023/07/21"
,Brevoortia tyrannus,atlantic menhaden,menhaden,animal,NOAA Fisheries
,Brosme brosme,cusk,,animal,SJ
,Brotula barbata,brotula,cuskeel,animal,"FDA The Seafood List, 2023/07/21"
